P_CODE,VDC_NAME,DISTRICT,REGION,MMI_MAX,MMI_UNLOG,MMI_MAX,POP_2011,POP_2011,POPDEN_2011,POPDEN_2011,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_WALL_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HOUSE_ROOF_PERCENT_HIGH_RISK,HUMAN_POVERTY_INDEX,HUMAN_POVERTY_INDEX
C-BAG-24-039,KartikeDeurali,Kavrepalanchok,Central,7.79,61263780,1.42,3061,0.03,239.29,5.45,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-040,KatunjeBesi,Kavrepalanchok,Central,7.98,95278486,2.21,2399,0.02,282.68,5.62,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-041,KavreNitya Chandeswor,Kavrepalanchok,Central,8.01,103165740,2.39,4927,0.05,521.58,6.23,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-042,KhaharePangu,Kavrepalanchok,Central,8.01,101695852,2.36,2394,0.02,156.19,5.03,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-043,Khanalthok,Kavrepalanchok,Central,7.96,91090310,2.11,4707,0.05,367.26,5.88,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-044,Kharelthok,Kavrepalanchok,Central,7.86,72208324,1.67,2389,0.02,291.51,5.65,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-045,Kharpachok,Kavrepalanchok,Central,7.98,95832861,2.22,1676,0.02,182.4,5.18,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-046,KolatiBhumlu,Kavrepalanchok,Central,7.81,65027563,1.51,1322,0.01,184.79,5.20,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-047,Koshidekha,Kavrepalanchok,Central,7.90,79872127,1.85,1761,0.02,203.88,5.29,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-048,KuruwasChapakhori,Kavrepalanchok,Central,7.82,66807877,1.55,2753,0.03,276.89,5.60,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-049,Kushadevi,Kavrepalanchok,Central,8.08,119103596,2.76,7114,0.07,306.63,5.70,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-050,Machchhegaun,Kavrepalanchok,Central,7.90,80045866,1.86,6110,0.06,228.19,5.41,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-051,MadanKundari,Kavrepalanchok,Central,7.84,69366885,1.61,1897,0.02,220.14,5.37,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-052,Mahadevsthan,Kavrepalanchok,Central,7.84,69440572,1.61,8166,0.08,369.07,5.88,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-053,Mahadevtar,Kavrepalanchok,Central,7.97,92668535,2.15,2083,0.02,134.46,4.88,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-054,MahankalChaur,Kavrepalanchok,Central,8.01,102791943,2.38,3470,0.04,144.43,4.95,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-055,MahendraJyoti,Kavrepalanchok,Central,8.26,181088827,4.20,3409,0.03,620.22,6.40,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-056,MajhiFeda,Kavrepalanchok,Central,7.75,56876065,1.32,2669,0.03,243.8,5.47,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-057,Mangaltar,Kavrepalanchok,Central,7.98,94620563,2.19,3737,0.04,189.22,5.22,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-058,MathurapatiFulbari,Kavrepalanchok,Central,7.99,97778192,2.27,4458,0.05,297.5,5.67,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-059,Methinkot,Kavrepalanchok,Central,8.01,103284291,2.39,4721,0.05,220.58,5.37,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-060,Milche,Kavrepalanchok,Central,8.19,154211594,3.58,2693,0.03,119.53,4.76,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-061,NagreGagarche,Kavrepalanchok,Central,7.66,45457261,1.05,2237,0.02,188.03,5.21,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-062,Nala(Ugrachandi),Kavrepalanchok,Central,7.98,96166885,2.23,7198,0.07,682.42,6.50,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-063,NasikasthanSangha,Kavrepalanchok,Central,8.18,150242273,3.48,6121,0.06,666.7,6.47,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-064,NayagaunDeupur,Kavrepalanchok,Central,7.80,63548926,1.47,4417,0.05,345.54,5.82,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-065,PanautiN. P.,Kavrepalanchok,Central,8.15,142232214,3.30,27358,0.28,861.95,6.73,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-066,Panchkhal,Kavrepalanchok,Central,7.97,93121084,2.16,12339,0.13,644.55,6.44,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-067,Patalekhet,Kavrepalanchok,Central,8.01,101364323,2.35,4009,0.04,396.21,5.95,97.66,9.74,31.37,3.18,27.34,3.31
C-BAG-24-068,PokhariChauri,Kavrepalanchok,Central,7.77,59014199,1.37,3176,0.03,432.02,6.04,97.66,9.74,31.37,3.18,27.34,3.31
